asset,session_date,weekday,status,raw_rows,projected_exact_duplicates,projected_conflicting_ids,unorderable_rows,later_projected_versions_ignored,valid_regular_rows,available_by_close_minus_120s_rows,valid_distinct_expiries_full_regular_session,distinct_expiries_by_close_minus_120s,expiry_dates,expiry_count_monday,expiry_count_tuesday,expiry_count_wednesday,expiry_count_thursday,expiry_count_friday,expiry_count_saturday,expiry_count_sunday,zero_dte_trade_rows,zero_dte_distinct_contracts_day_union,first_mon_wed_available_ny
NVDA,2026-01-13,Tuesday,VERIFIED_LOCAL,218400,0,0,0,0,215831,213699,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,20,0,0,0,0,
TSLA,2026-01-13,Tuesday,VERIFIED_LOCAL,295916,0,0,0,0,292959,291022,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
AAPL,2026-01-14,Wednesday,VERIFIED_LOCAL,100628,0,0,0,0,99117,98253,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,20,0,0,0,0,
AMZN,2026-01-14,Wednesday,VERIFIED_LOCAL,90279,0,0,0,0,88745,87769,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
META,2026-01-14,Wednesday,VERIFIED_LOCAL,120050,0,0,0,0,117445,116520,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16,0,0,0,2,20,0,0,0,0,
MSFT,2026-01-14,Wednesday,VERIFIED_LOCAL,97497,0,0,0,0,95656,94558,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
NVDA,2026-01-14,Wednesday,VERIFIED_LOCAL,234695,0,0,0,0,231808,229172,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,20,0,0,0,0,
TSLA,2026-01-14,Wednesday,VERIFIED_LOCAL,340609,0,0,0,0,337014,334142,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
AAPL,2026-01-15,Thursday,VERIFIED_LOCAL,98031,0,0,0,0,96377,95314,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,20,0,0,0,0,
AMZN,2026-01-15,Thursday,VERIFIED_LOCAL,90167,0,0,0,0,88716,88255,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
META,2026-01-15,Thursday,VERIFIED_LOCAL,125848,0,0,0,0,122731,121953,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16,0,0,0,2,20,0,0,0,0,
MSFT,2026-01-15,Thursday,VERIFIED_LOCAL,89026,0,0,0,0,87557,86967,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
NVDA,2026-01-15,Thursday,VERIFIED_LOCAL,346512,0,0,0,0,340366,338203,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,20,0,0,0,0,
TSLA,2026-01-15,Thursday,VERIFIED_LOCAL,315723,0,0,0,0,311852,308713,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
AAPL,2026-01-16,Friday,VERIFIED_LOCAL,137076,0,0,0,0,92661,91589,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,20,0,0,7169,65,
AMZN,2026-01-16,Friday,VERIFIED_LOCAL,84972,0,0,0,0,64925,63708,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,10389,74,
META,2026-01-16,Friday,VERIFIED_LOCAL,120059,0,0,0,0,70250,69210,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16,0,0,0,2,20,0,0,4838,163,
MSFT,2026-01-16,Friday,VERIFIED_LOCAL,87800,0,0,0,0,61451,60869,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,3296,97,
NVDA,2026-01-16,Friday,VERIFIED_LOCAL,299280,0,0,0,0,180008,176381,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,20,0,0,29139,213,
