asset,session_date,N_origins,b2_5m_window_empty_count,b2_30m_window_empty_count,b2_5m_window_empty_unknown,b2_30m_window_empty_unknown
AMZN,2024-09-06,65,0,0,0,0
META,2024-09-06,65,0,0,0,0
MSFT,2024-09-06,65,0,0,0,0
NVDA,2024-09-06,65,0,0,0,0
TSLA,2024-09-06,65,0,0,0,0
AAPL,2024-09-09,65,0,0,0,0
AMZN,2024-09-09,65,0,0,0,0
META,2024-09-09,65,0,0,0,0
MSFT,2024-09-09,65,0,0,0,0
NVDA,2024-09-09,65,0,0,0,0
TSLA,2024-09-09,65,0,0,0,0
AAPL,2024-09-10,65,0,0,0,0
AMZN,2024-09-10,65,0,0,0,0
META,2024-09-10,65,0,0,0,0
MSFT,2024-09-10,65,0,0,0,0
NVDA,2024-09-10,65,0,0,0,0
TSLA,2024-09-10,65,0,0,0,0
AAPL,2024-09-11,65,0,0,0,0
AMZN,2024-09-11,65,0,0,0,0
META,2024-09-11,65,0,0,0,0
MSFT,2024-09-11,65,0,0,0,0
NVDA,2024-09-11,65,0,0,0,0
TSLA,2024-09-11,65,0,0,0,0
AAPL,2024-09-12,65,0,0,0,0
AMZN,2024-09-12,65,0,0,0,0
META,2024-09-12,65,0,0,0,0
MSFT,2024-09-12,65,0,0,0,0
NVDA,2024-09-12,65,0,0,0,0
TSLA,2024-09-12,65,0,0,0,0
AAPL,2024-09-13,65,0,0,0,0
AMZN,2024-09-13,65,0,0,0,0
META,2024-09-13,65,0,0,0,0
MSFT,2024-09-13,65,0,0,0,0
NVDA,2024-09-13,65,0,0,0,0
TSLA,2024-09-13,65,0,0,0,0
AAPL,2024-09-16,65,0,0,0,0
AMZN,2024-09-16,65,0,0,0,0
META,2024-09-16,65,0,0,0,0
MSFT,2024-09-16,65,0,0,0,0
NVDA,2024-09-16,65,0,0,0,0
TSLA,2024-09-16,65,0,0,0,0
AAPL,2024-09-17,65,0,0,0,0
AMZN,2024-09-17,65,0,0,0,0
META,2024-09-17,65,0,0,0,0
MSFT,2024-09-17,65,0,0,0,0
NVDA,2024-09-17,65,0,0,0,0
