asset,N_sessions,N_origins,weight_in_every_session
AAPL,419,26898,0.125
AMZN,419,26743,0.125
META,419,26853,0.125
MSFT,419,26729,0.125
NVDA,419,26764,0.125
QQQ,419,26586,0.125
SPY,419,26791,0.125
TSLA,419,26845,0.125
