session_date,loss__log_ridge_harq__B0,loss__log_ridge_harq__B1,loss__log_ridge_harq__B2,loss__lightgbm_qlike__B0,loss__lightgbm_qlike__B1,loss__lightgbm_qlike__B2
2024-10-28,0.13602388275716723,0.14900484408587536,0.14076519847095326,0.13603903112116963,0.15170922058169153,0.16036809437593894
2024-10-29,0.11835168820806098,0.1309610859790112,0.1290327416566128,0.12752229394305056,0.1348764853164703,0.1398889192464147
2024-10-30,0.18056459941656774,0.1854474611439794,0.18343376115833923,0.17796777550443263,0.1851758774384014,0.18583249080571165
2024-10-31,0.1268614446706518,0.12489747321477795,0.12084484713837527,0.13130044184869508,0.1338744778397807,0.1291406788234942
2024-11-01,0.11707174981685091,0.11311850111152948,0.11679020944872583,0.11129294379097669,0.12164582927459483,0.11674899486009134
2024-11-04,0.1213637125575337,0.11445835947623284,0.1117255731100561,0.12757876552103944,0.12914782032430352,0.128053436446761
2024-11-05,0.12108453483425718,0.11644239248680244,0.11514355621629035,0.12565670002233986,0.1348307964223551,0.1303662754092929
2024-11-06,0.132784372897208,0.13264447807027172,0.13283703934177082,0.13960510275408264,0.13765269036709488,0.1344286113417069
2024-11-07,0.13934218697116443,0.13703946345621018,0.13689896422149803,0.15049699224884625,0.14476782878839584,0.14623853545321783
2024-11-08,0.17623545117920034,0.16774517142047643,0.15744899771378568,0.16451722648781278,0.16967322309522728,0.16734554661061676
2024-11-11,0.16065754828956558,0.14349967219564227,0.14376639984174067,0.1652466754760736,0.16488822423948127,0.17459765519150183
2024-11-12,0.15621906145609044,0.16007051078869733,0.15649533737887336,0.17194035198021407,0.1773790934578683,0.17515528097046984
2024-11-13,0.10826838231582074,0.11110739950502822,0.10941417122306017,0.13248888067417727,0.13222772796922685,0.1370460496085464
2024-11-14,0.7695574204570464,0.8219902634571405,0.7568134931814486,0.7906983502398627,0.8542226431066021,0.8395962136936749
2024-11-15,0.15938798662942502,0.1657661428522732,0.1700261734466969,0.1659191344945961,0.16417222928722877,0.16222893188869295
2024-11-18,0.12683908878487832,0.12423009936948914,0.1260686471196904,0.12557878652632726,0.12567585392334837,0.12364925844799696
2024-11-19,0.12729518251558988,0.1312612102001996,0.1321866423405155,0.13047197096935462,0.12678887582688125,0.12640462502455896
2024-11-20,0.1295723175030853,0.13029769349816223,0.12956770185032687,0.13363809340070507,0.13160376866408294,0.13100858274176186
2024-11-21,0.14211450507166748,0.14547904250505014,0.14682244526958657,0.15562872757379173,0.17096069089232258,0.1648928283377292
2024-11-22,0.1476230082568635,0.1407383668077362,0.14707056089982737,0.13568928937062052,0.134724248895933,0.13643412455701265
2024-11-25,0.12151225133101973,0.11520184434045637,0.1162681748177277,0.12156063746996863,0.11943991090021766,0.11711089934846512
2024-11-26,0.14459351915427435,0.14700976250146952,0.14652035030648866,0.14011060442108034,0.14140679434520664,0.1445975644986931
2024-11-27,0.11820700436978471,0.12965108350022342,0.1286818927684257,0.13356107237790218,0.13046109976413556,0.1302063884338491
2024-11-29,0.10157626449524094,0.09210821244447163,0.09246161737221437,0.09697913465079523,0.1101625086810593,0.10734709880070499
2024-12-02,0.12995651384908552,0.1291363485711035,0.1320443155141464,0.141905135147666,0.1405390295577522,0.13786322572624435
2024-12-03,0.2766956868213806,0.2765995542749449,0.2876027561664324,0.2816862179017055,0.28150765820692636,0.2814782715108817
2024-12-04,0.14767769590946056,0.1498497393053215,0.15206960407492365,0.16093382137748274,0.16248755483235397,0.16943171941199753
2024-12-05,0.14215313868863408,0.1406398502310557,0.1430339243171743,0.15238205702666321,0.16564620177061987,0.15750250773755708
2024-12-06,0.14301595459078198,0.14839029537768508,0.14133791336001292,0.1525585474358826,0.1511131479556523,0.14574977412895954
2024-12-09,0.1473624494667652,0.14947153233555377,0.1421989730159546,0.15612597208473974,0.16232986152467585,0.14512992977762915
