version,target,horizon_minutes,window,family,family_group,contrast,N_sessions,N_origins,N_asset_sessions,delta_qlike,ci_low_qlike,ci_high_qlike,baseline_qlike_observed,percent_reduction,ci_low_rescaled_percent,ci_high_rescaled_percent,interval_definition,p_raw,p_raw_sidedness,p_for_decision,hypothesis_status,p_bilateral,p_holm_bilateral,source_summary,source_summary_sha256,source_session_losses,source_session_losses_sha256
v2,RV30,30,primary,lightgbm_qlike,tree,B1_over_B0,419,160832,2514,0.003122485902953738,0.0010149406976682313,0.005486016539622717,0.14931695344824814,2.091179756112532,0.6797223451387926,3.6740747871768753,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0066,two_sided,,,0.0066,0.0264,artifacts/rp4_v2_b2/summary.json,4d2ac494feecf154e47c0191db8e0fba8dd1e62e6f3794ab2525acebbba36693,artifacts/rp4_v2_b2/session_losses.csv,c01bee110fe1a46d2e67b1261b1c865d3634c5ca8deda8af8ef5b69a70cc50c4
v2,RV30,30,primary,lightgbm_qlike,tree,B2_over_B1,419,160832,2514,-9.16133922570611e-05,-0.0014834878277444358,0.0009537784665336652,0.14619446754529442,-0.06266543036498776,-1.014735955917632,0.6524039401410061,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.8858,two_sided,,,0.8858,0.8858,artifacts/rp4_v2_b2/summary.json,4d2ac494feecf154e47c0191db8e0fba8dd1e62e6f3794ab2525acebbba36693,artifacts/rp4_v2_b2/session_losses.csv,c01bee110fe1a46d2e67b1261b1c865d3634c5ca8deda8af8ef5b69a70cc50c4
v2,RV30,30,confirmation,log_ridge_harq,linear,B1_over_B0,25,9750,150,0.0006767067713942454,-0.0029467222381568204,0.0037440417602838164,0.17976428772982914,0.3764411607778736,-1.6392144821253376,2.082750588320858,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.7081,two_sided,,,0.7081,1.0,artifacts/rp4_v2_b3/summary.json,7ac5591b18c12e86165e80d9c6adf906ba19a2d1e502eb163b154c9eb74e83af,artifacts/rp4_v2_b3/session_losses.csv,ac2f39206de4f5b9025bed10f0f87a5980536d0e913015fe8d5beb54e178ad76
v2,RV30,30,confirmation,log_ridge_harq,linear,B2_over_B1,25,9750,150,0.0033372277299636454,-0.0006159970147455965,0.010201394066756063,0.17908758095843488,1.8634612808457083,-0.3439641160201754,5.696315742365042,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.341,two_sided,,,0.341,1.0,artifacts/rp4_v2_b3/summary.json,7ac5591b18c12e86165e80d9c6adf906ba19a2d1e502eb163b154c9eb74e83af,artifacts/rp4_v2_b3/session_losses.csv,ac2f39206de4f5b9025bed10f0f87a5980536d0e913015fe8d5beb54e178ad76
v2,RV30,30,confirmation,lightgbm_qlike,tree,B1_over_B0,25,9750,150,0.002914158133017256,-0.0016852924088726668,0.007422188097779921,0.17494027080363075,1.6658017731596966,-0.9633530353707956,4.24269841568456,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.2193,two_sided,,,0.2193,0.8772,artifacts/rp4_v2_b3/summary.json,7ac5591b18c12e86165e80d9c6adf906ba19a2d1e502eb163b154c9eb74e83af,artifacts/rp4_v2_b3/session_losses.csv,ac2f39206de4f5b9025bed10f0f87a5980536d0e913015fe8d5beb54e178ad76
v2,RV30,30,confirmation,lightgbm_qlike,tree,B2_over_B1,25,9750,150,-0.002001506974756125,-0.007992845574946568,0.001642535859302046,0.1720261126706135,-1.163490207203894,-4.646297850286745,0.9548177505162179,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.5665,two_sided,,,0.5665,1.0,artifacts/rp4_v2_b3/summary.json,7ac5591b18c12e86165e80d9c6adf906ba19a2d1e502eb163b154c9eb74e83af,artifacts/rp4_v2_b3/session_losses.csv,ac2f39206de4f5b9025bed10f0f87a5980536d0e913015fe8d5beb54e178ad76
v3,RV30,30,primary,log_ridge_harq,linear,B1_over_B0,419,160832,2514,0.002546895917702083,0.0005570052727676305,0.005540719606568932,0.14730674066378438,1.7289744557685691,0.37812612665088396,3.7613483141380284,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0439,one_sided,0.0439,REJECTED,0.0467,0.1401,artifacts/rp4_v3_b2/summary.json,645d319f4b5b283a2b1bc6ecda1a185650b8436cdbf3b319e9debfc41210ef1d,artifacts/rp4_v3_b2/session_losses.csv,8eb70bfe30c60a9cc1dd6802dd711e506cb4582ae172fdfbe9fee9f9ddc5064f
v3,RV30,30,primary,log_ridge_harq,linear,B2_over_B1,419,160832,2514,0.000802389659514178,-0.00015343469579501222,0.0017735436831533618,0.1447598447460823,0.5542902183417087,-0.10599258106703978,1.2251627419636066,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0525,one_sided,0.0525,NOT_REJECTED,0.1013,0.2026,artifacts/rp4_v3_b2/summary.json,645d319f4b5b283a2b1bc6ecda1a185650b8436cdbf3b319e9debfc41210ef1d,artifacts/rp4_v3_b2/session_losses.csv,8eb70bfe30c60a9cc1dd6802dd711e506cb4582ae172fdfbe9fee9f9ddc5064f
v3,RV30,30,primary,lightgbm_qlike,tree,B1_over_B0,419,160832,2514,0.003122485902953738,0.0010149406976682313,0.005486016539622717,0.14931695344824814,2.091179756112532,0.6797223451387926,3.6740747871768753,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0053,one_sided,0.0053,REJECTED,0.0066,0.0264,artifacts/rp4_v3_b2/summary.json,645d319f4b5b283a2b1bc6ecda1a185650b8436cdbf3b319e9debfc41210ef1d,artifacts/rp4_v3_b2/session_losses.csv,8eb70bfe30c60a9cc1dd6802dd711e506cb4582ae172fdfbe9fee9f9ddc5064f
v3,RV30,30,primary,lightgbm_qlike,tree,B2_over_B1,419,160832,2514,-0.00023264695478901929,-0.0016475987079428186,0.0008319667722548281,0.14619446754529442,-0.1591352659887351,-1.1269911478916632,0.5690822547693644,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.6631,one_sided,0.6631,NOT_REJECTED,0.7249,0.7249,artifacts/rp4_v3_b2/summary.json,645d319f4b5b283a2b1bc6ecda1a185650b8436cdbf3b319e9debfc41210ef1d,artifacts/rp4_v3_b2/session_losses.csv,8eb70bfe30c60a9cc1dd6802dd711e506cb4582ae172fdfbe9fee9f9ddc5064f
v3,RV30,30,confirmation,log_ridge_harq,linear,B1_over_B0,25,9750,150,0.0009113920712757084,-0.0028274371941787715,0.0039476573819733395,0.1818789108645419,0.5010982674920935,-1.5545712148477533,2.1704865963890887,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.3238,one_sided,0.3238,NOT_REJECTED,0.6202,0.6578999999999999,artifacts/rp4_v3_b3/summary.json,64af964691d1127df7b3e2e0f05395c810719f2fe4e5ba3fa0207fcc8e15591b,artifacts/rp4_v3_b3/session_losses.csv,1798a86cde522b2e7e44bbd69dc758da40ff15ba62c951eea2032100d2782725
v3,RV30,30,confirmation,log_ridge_harq,linear,B2_over_B1,25,9750,150,0.0033669573912467952,-0.0007443023224905518,0.01022276269681328,0.18096751879326617,1.8605313338539735,-0.4112905605678489,5.64894891911049,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.1612,one_sided,,NOT_TESTED,0.3145,0.6578999999999999,artifacts/rp4_v3_b3/summary.json,64af964691d1127df7b3e2e0f05395c810719f2fe4e5ba3fa0207fcc8e15591b,artifacts/rp4_v3_b3/session_losses.csv,1798a86cde522b2e7e44bbd69dc758da40ff15ba62c951eea2032100d2782725
v3,RV30,30,confirmation,lightgbm_qlike,tree,B1_over_B0,25,9750,150,0.002914158133017256,-0.0016852924088726668,0.007422188097779921,0.17494027080363075,1.6658017731596966,-0.9633530353707956,4.24269841568456,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.1104,one_sided,0.1104,NOT_REJECTED,0.2193,0.6578999999999999,artifacts/rp4_v3_b3/summary.json,64af964691d1127df7b3e2e0f05395c810719f2fe4e5ba3fa0207fcc8e15591b,artifacts/rp4_v3_b3/session_losses.csv,1798a86cde522b2e7e44bbd69dc758da40ff15ba62c951eea2032100d2782725
v3,RV30,30,confirmation,lightgbm_qlike,tree,B2_over_B1,25,9750,150,-0.004152521449812964,-0.010378797484208193,2.4918118954779496e-05,0.1720261126706135,-2.4138901852441395,-6.033268625956204,0.014485079368439485,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.9266,one_sided,,NOT_TESTED,0.0996,0.3984,artifacts/rp4_v3_b3/summary.json,64af964691d1127df7b3e2e0f05395c810719f2fe4e5ba3fa0207fcc8e15591b,artifacts/rp4_v3_b3/session_losses.csv,1798a86cde522b2e7e44bbd69dc758da40ff15ba62c951eea2032100d2782725
