horizon_minutes,window,N_asset_sessions,N_origins,N_sessions,contrast,estimate,family,qlike_reduction_percent,subset
15,primary,1668,106202,278,B1_over_B0,0.002366574584676782,log_ridge_harq,1.31457060544711,leave_block_3_out
15,primary,1668,106202,278,B2_over_B1,0.0012976618497012769,log_ridge_harq,0.7304192704315378,leave_block_3_out
15,primary,1668,106202,278,B1_over_B0,0.0023175961459586435,lightgbm_qlike,1.250385487299926,leave_block_3_out
15,primary,1668,106202,278,B2_over_B1,-6.388788280092537e-05,lightgbm_qlike,-0.03490512933790742,leave_block_3_out
15,confirmation,25,1625,25,B1_over_B0,0.003384080195595421,log_ridge_harq,1.9068837994481573,asset_AAPL
15,confirmation,25,1625,25,B2_over_B1,0.0006618241644948358,log_ridge_harq,0.38017860383075147,asset_AAPL
15,confirmation,25,1625,25,B1_over_B0,0.0028838552280452995,lightgbm_qlike,1.5610255941265663,asset_AAPL
15,confirmation,25,1625,25,B2_over_B1,-0.0010784152349104209,lightgbm_qlike,-0.5930011058953752,asset_AAPL
15,confirmation,25,1625,25,B1_over_B0,-0.0002948612018958485,log_ridge_harq,-0.05750483783221201,asset_AMZN
15,confirmation,25,1625,25,B2_over_B1,0.028259866291791634,log_ridge_harq,5.508168100246131,asset_AMZN
15,confirmation,25,1625,25,B1_over_B0,0.03435041735224833,lightgbm_qlike,6.829842496467383,asset_AMZN
15,confirmation,25,1625,25,B2_over_B1,-0.016872007362637245,lightgbm_qlike,-3.6005479340119355,asset_AMZN
15,confirmation,25,1625,25,B1_over_B0,0.0007732966411045805,log_ridge_harq,0.42261391875882987,asset_META
15,confirmation,25,1625,25,B2_over_B1,0.0012136907364720616,log_ridge_harq,0.6661085190614671,asset_META
15,confirmation,25,1625,25,B1_over_B0,0.000683667896160437,lightgbm_qlike,0.380963688221906,asset_META
15,confirmation,25,1625,25,B2_over_B1,0.000282330131521904,lightgbm_qlike,0.1579258744215104,asset_META
15,confirmation,25,1625,25,B1_over_B0,0.002744860901108005,log_ridge_harq,1.5338007560508853,asset_MSFT
15,confirmation,25,1625,25,B2_over_B1,0.0034335084610011947,log_ridge_harq,1.9484961580686002,asset_MSFT
15,confirmation,25,1625,25,B1_over_B0,0.0007234516388946622,lightgbm_qlike,0.3984796504153399,asset_MSFT
15,confirmation,25,1625,25,B2_over_B1,0.001148858079345475,lightgbm_qlike,0.6353266279745801,asset_MSFT
15,confirmation,25,1625,25,B1_over_B0,0.0008966147866596174,log_ridge_harq,0.6044212008404753,asset_NVDA
15,confirmation,25,1625,25,B2_over_B1,-0.0002674708647931307,log_ridge_harq,-0.18140247468130263,asset_NVDA
15,confirmation,25,1625,25,B1_over_B0,0.0029490708801960964,lightgbm_qlike,1.9688276910592337,asset_NVDA
15,confirmation,25,1625,25,B2_over_B1,-0.0028084381774021437,lightgbm_qlike,-1.9125956781254407,asset_NVDA
15,confirmation,25,1625,25,B1_over_B0,-0.0050066399909262874,log_ridge_harq,-2.1389255474349826,asset_TSLA
15,confirmation,25,1625,25,B2_over_B1,-0.0046975392600185385,log_ridge_harq,-1.964845638661983,asset_TSLA
15,confirmation,25,1625,25,B1_over_B0,0.003302413958728993,lightgbm_qlike,1.4943405057134242,asset_TSLA
15,confirmation,25,1625,25,B2_over_B1,0.005692811465618868,lightgbm_qlike,2.6150721493819074,asset_TSLA
15,confirmation,150,9750,25,B1_over_B0,0.00041622522194090185,log_ridge_harq,0.17408259647110502,last30sessions
15,confirmation,150,9750,25,B2_over_B1,0.004767313254824691,log_ridge_harq,1.9973645698181244,last30sessions
15,confirmation,150,9750,25,B1_over_B0,0.007482146159045653,lightgbm_qlike,3.162627461057245,last30sessions
15,confirmation,150,9750,25,B2_over_B1,-0.0022724768497439274,lightgbm_qlike,-0.9919238217819006,last30sessions
15,confirmation,48,3120,8,B1_over_B0,0.003219966800254853,log_ridge_harq,1.8763823808515885,chronological_block_1
15,confirmation,48,3120,8,B2_over_B1,0.0005603668228238174,log_ridge_harq,0.33278888718570654,chronological_block_1
15,confirmation,48,3120,8,B1_over_B0,0.004107883365523885,lightgbm_qlike,2.4287062685865966,chronological_block_1
15,confirmation,48,3120,8,B2_over_B1,-7.252250033220123e-05,lightgbm_qlike,-0.043944810365894135,chronological_block_1
15,confirmation,102,6630,17,B1_over_B0,-0.0009031825796186046,log_ridge_harq,-0.3334536118905156,leave_block_1_out
15,confirmation,102,6630,17,B2_over_B1,0.006747052752236867,log_ridge_harq,2.4827227152375473,leave_block_1_out
15,confirmation,102,6630,17,B1_over_B0,0.009070034532467661,lightgbm_qlike,3.3803408604906893,leave_block_1_out
15,confirmation,102,6630,17,B2_over_B1,-0.0033077494847612104,lightgbm_qlike,-1.2759059536223318,leave_block_1_out
15,confirmation,48,3120,8,B1_over_B0,-0.00311559845481643,log_ridge_harq,-1.5671035054034972,chronological_block_2
15,confirmation,48,3120,8,B2_over_B1,-0.0012378213609461671,log_ridge_harq,-0.6130008939878983,chronological_block_2
15,confirmation,48,3120,8,B1_over_B0,0.0011793553029755405,lightgbm_qlike,0.62031200110601,chronological_block_2
15,confirmation,48,3120,8,B2_over_B1,0.0018033237136380748,lightgbm_qlike,0.9544245108163113,chronological_block_2
15,confirmation,102,6630,17,B1_over_B0,0.0020782598933561168,log_ridge_harq,0.8053600685102958,leave_block_2_out
15,confirmation,102,6630,17,B2_over_B1,0.007593258956363919,log_ridge_harq,2.9664036149957758,leave_block_2_out
15,confirmation,102,6630,17,B1_over_B0,0.010448165385431588,lightgbm_qlike,4.0427466041370606,leave_block_2_out
15,confirmation,102,6630,17,B2_over_B1,-0.004190500644276634,lightgbm_qlike,-1.6897582896114314,leave_block_2_out
15,confirmation,54,3510,9,B1_over_B0,0.0010634093094461288,log_ridge_harq,0.3175336388558427,chronological_block_3
15,confirmation,54,3510,9,B2_over_B1,0.013844718630621786,log_ridge_harq,4.147196768323577,chronological_block_3
15,confirmation,54,3510,9,B1_over_B0,0.016083971625349545,lightgbm_qlike,4.761062653780784,chronological_block_3
15,confirmation,54,3510,9,B2_over_B1,-0.00785092566111613,lightgbm_qlike,-2.440152239434749,chronological_block_3
15,confirmation,96,6240,16,B1_over_B0,5.218417271921159e-05,log_ridge_harq,0.02817586070886523,leave_block_3_out
15,confirmation,96,6240,16,B2_over_B1,-0.00033872726906117485,log_ridge_harq,-0.18294095119034567,leave_block_3_out
15,confirmation,96,6240,16,B1_over_B0,0.002643619334249713,lightgbm_qlike,1.4716957342389967,leave_block_3_out
15,confirmation,96,6240,16,B2_over_B1,0.0008654006066529368,lightgbm_qlike,0.4889622134589833,leave_block_3_out
5,primary,419,26898,419,B1_over_B0,0.0018570723379525574,log_ridge_harq,0.5068044913801721,asset_AAPL
5,primary,419,26898,419,B2_over_B1,0.0019128816970803587,log_ridge_harq,0.5246943238908117,asset_AAPL
5,primary,419,26898,419,B1_over_B0,3.9336716566499785e-05,lightgbm_qlike,0.010621721863227563,asset_AAPL
5,primary,419,26898,419,B2_over_B1,0.0015046603488818703,lightgbm_qlike,0.4063323752566104,asset_AAPL
5,primary,419,26743,419,B1_over_B0,0.0018423370264299785,log_ridge_harq,0.5289090338676784,asset_AMZN
5,primary,419,26743,419,B2_over_B1,-0.0005167221111539288,log_ridge_harq,-0.14913242135216054,asset_AMZN
5,primary,419,26743,419,B1_over_B0,0.0028077760591874094,lightgbm_qlike,0.7973828191960668,asset_AMZN
5,primary,419,26743,419,B2_over_B1,-0.0010844690505417355,lightgbm_qlike,-0.31045484335191575,asset_AMZN
5,primary,419,26853,419,B1_over_B0,0.002064006020786625,log_ridge_harq,0.5704507784886046,asset_META
5,primary,419,26853,419,B2_over_B1,-0.00015705920513874275,log_ridge_harq,-0.04365712598549003,asset_META
5,primary,419,26853,419,B1_over_B0,0.0010692413096261473,lightgbm_qlike,0.29443274471671976,asset_META
5,primary,419,26853,419,B2_over_B1,0.00026971426836659116,lightgbm_qlike,0.07448947127537713,asset_META
5,primary,419,26729,419,B1_over_B0,0.0016109037383696203,log_ridge_harq,0.46180446762798333,asset_MSFT
