horizon_minutes,window,B1_over_B0,B1_over_B0_sign,B2_over_B1,B2_over_B1_sign,family,qlike_B0,qlike_B1,qlike_B2,rank,ranked_information_set,session_date
15,primary,0.2738783052432132,1,-0.015967903763190794,-1,log_ridge_harq,1.8695091932917591,1.595630888048546,1.6115987918117367,1,B0,2025-04-09
15,primary,0.06677652893117136,1,0.011539429478403918,1,log_ridge_harq,0.8847246675196407,0.8179481385884694,0.8064087091100655,2,B0,2025-04-07
15,primary,-0.028038532931707216,-1,-0.03585612861516929,-1,log_ridge_harq,0.8710518567729347,0.899090389704642,0.9349465183198112,3,B0,2026-06-05
15,primary,0.004020854516756822,1,-0.008798341227812312,-1,log_ridge_harq,0.8570822000182486,0.8530613455014918,0.8618596867293041,4,B0,2026-03-16
15,primary,-0.0524328430000941,-1,0.06517677027569191,1,log_ridge_harq,0.7695574204570464,0.8219902634571405,0.7568134931814486,5,B0,2024-11-14
15,primary,0.01843803129239796,1,0.00852868528968187,1,log_ridge_harq,0.6362729128010729,0.6178348815086749,0.6093061962189931,6,B0,2026-01-21
15,primary,0.048158791580362736,1,0.025939678728240212,1,log_ridge_harq,0.6033341580499245,0.5551753664695618,0.5292356877413216,7,B0,2025-09-17
15,primary,-0.033567913279867634,-1,0.013446471641137547,1,log_ridge_harq,0.573719884591474,0.6072877978713417,0.5938413262302041,8,B0,2026-06-17
15,primary,-0.005720834146642595,-1,0.012190321216309585,1,log_ridge_harq,0.5702188741629995,0.5759397083096421,0.5637493870933326,9,B0,2025-10-10
15,primary,0.013715738272236822,1,0.001763458016772912,1,log_ridge_harq,0.5388193595793745,0.5251036213071377,0.5233401632903648,10,B0,2026-06-11
15,primary,0.2738783052432132,1,-0.015967903763190794,-1,log_ridge_harq,1.8695091932917591,1.595630888048546,1.6115987918117367,1,B1,2025-04-09
15,primary,-0.028038532931707216,-1,-0.03585612861516929,-1,log_ridge_harq,0.8710518567729347,0.899090389704642,0.9349465183198112,2,B1,2026-06-05
15,primary,0.004020854516756822,1,-0.008798341227812312,-1,log_ridge_harq,0.8570822000182486,0.8530613455014918,0.8618596867293041,3,B1,2026-03-16
15,primary,-0.0524328430000941,-1,0.06517677027569191,1,log_ridge_harq,0.7695574204570464,0.8219902634571405,0.7568134931814486,4,B1,2024-11-14
15,primary,0.06677652893117136,1,0.011539429478403918,1,log_ridge_harq,0.8847246675196407,0.8179481385884694,0.8064087091100655,5,B1,2025-04-07
15,primary,0.01843803129239796,1,0.00852868528968187,1,log_ridge_harq,0.6362729128010729,0.6178348815086749,0.6093061962189931,6,B1,2026-01-21
15,primary,-0.033567913279867634,-1,0.013446471641137547,1,log_ridge_harq,0.573719884591474,0.6072877978713417,0.5938413262302041,7,B1,2026-06-17
15,primary,-0.005720834146642595,-1,0.012190321216309585,1,log_ridge_harq,0.5702188741629995,0.5759397083096421,0.5637493870933326,8,B1,2025-10-10
15,primary,0.048158791580362736,1,0.025939678728240212,1,log_ridge_harq,0.6033341580499245,0.5551753664695618,0.5292356877413216,9,B1,2025-09-17
15,primary,0.013715738272236822,1,0.001763458016772912,1,log_ridge_harq,0.5388193595793745,0.5251036213071377,0.5233401632903648,10,B1,2026-06-11
15,primary,0.2738783052432132,1,-0.015967903763190794,-1,log_ridge_harq,1.8695091932917591,1.595630888048546,1.6115987918117367,1,B2,2025-04-09
15,primary,-0.028038532931707216,-1,-0.03585612861516929,-1,log_ridge_harq,0.8710518567729347,0.899090389704642,0.9349465183198112,2,B2,2026-06-05
15,primary,0.004020854516756822,1,-0.008798341227812312,-1,log_ridge_harq,0.8570822000182486,0.8530613455014918,0.8618596867293041,3,B2,2026-03-16
15,primary,0.06677652893117136,1,0.011539429478403918,1,log_ridge_harq,0.8847246675196407,0.8179481385884694,0.8064087091100655,4,B2,2025-04-07
15,primary,-0.0524328430000941,-1,0.06517677027569191,1,log_ridge_harq,0.7695574204570464,0.8219902634571405,0.7568134931814486,5,B2,2024-11-14
15,primary,0.01843803129239796,1,0.00852868528968187,1,log_ridge_harq,0.6362729128010729,0.6178348815086749,0.6093061962189931,6,B2,2026-01-21
15,primary,-0.033567913279867634,-1,0.013446471641137547,1,log_ridge_harq,0.573719884591474,0.6072877978713417,0.5938413262302041,7,B2,2026-06-17
15,primary,-0.005720834146642595,-1,0.012190321216309585,1,log_ridge_harq,0.5702188741629995,0.5759397083096421,0.5637493870933326,8,B2,2025-10-10
15,primary,0.048158791580362736,1,0.025939678728240212,1,log_ridge_harq,0.6033341580499245,0.5551753664695618,0.5292356877413216,9,B2,2025-09-17
15,primary,0.013715738272236822,1,0.001763458016772912,1,log_ridge_harq,0.5388193595793745,0.5251036213071377,0.5233401632903648,10,B2,2026-06-11
15,primary,0.2418694336084275,1,0.07869818269920414,1,lightgbm_qlike,2.2217683538978785,1.979898920289451,1.9012007375902469,1,B0,2025-04-09
15,primary,0.12124964709299646,1,-0.34441720048388613,-1,lightgbm_qlike,1.580477939332902,1.4592282922399056,1.8036454927237917,2,B0,2025-04-07
15,primary,0.0018159810974935908,1,0.015612551683400144,1,lightgbm_qlike,0.8628783789096142,0.8610623978121206,0.8454498461287204,3,B0,2026-06-05
15,primary,-0.06352429286673944,-1,0.014626429412927244,1,lightgbm_qlike,0.7906983502398627,0.8542226431066021,0.8395962136936749,4,B0,2024-11-14
15,primary,0.02070389908477055,1,-0.003975001130692268,-1,lightgbm_qlike,0.7493728683234909,0.7286689692387204,0.7326439703694126,5,B0,2026-03-16
