horizon_minutes,window,N_asset_sessions,N_origins,N_sessions,alternative,baseline_loss,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,ci_high,ci_low,contrast,endpoint,estimate,expanded_loss,family,holm_family_size,holm_unavailable_treated_as_one,inference_role,interval,null,null_calibration,null_exceedances,p_holm,p_raw,percent_reduction_mean,removed_each_tail,statistic,status
15,confirmation,150,9750,25,two-sided,0.23868017521001647,5,9999,20260907,0.011340791716878802,-0.0008380104279293421,B2_over_B1,qlike_distribution_secondary,0.0008015436509276095,0.23391286195519181,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,4785,1.0,0.4786,1.9973645698181244,1,trimmed_mean_5pct,COMPUTED
15,confirmation,150,9750,25,two-sided,0.23658006676968593,5,9999,20260907,0.013515385983526628,0.001445264169664332,B1_over_B0,qlike_distribution_secondary,0.0034853065218016037,0.22909792061064024,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2516,1.0,0.2517,3.162627461057245,1,trimmed_mean_5pct,COMPUTED
15,confirmation,150,9750,25,two-sided,0.22909792061064024,5,9999,20260907,0.0016647050204552777,-0.00708815764663216,B2_over_B1,qlike_distribution_secondary,-0.00022018762281436743,0.2313703974603842,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,8189,1.0,0.819,-0.9919238217819006,1,trimmed_mean_5pct,COMPUTED
5,primary,2514,160832,419,two-sided,0.34893680484509615,5,9999,20260907,0.0011027042944973253,0.0002283936423135291,B1_over_B0,qlike_distribution_secondary,0.0008942886608794831,0.3476203950506411,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,31,0.009600000000000001,0.0032,0.3772630964049196,0,median,COMPUTED
5,primary,2514,160832,419,two-sided,0.3476203950506411,5,9999,20260907,0.0017339862122882632,0.0006571168570078945,B2_over_B1,qlike_distribution_secondary,0.0010462176457196604,0.3467293793975198,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,11,0.0048,0.0012,0.25631857791069307,0,median,COMPUTED
5,primary,2514,160832,419,two-sided,0.35330762069044525,5,9999,20260907,0.0014522671844602875,0.00021508678161452632,B1_over_B0,qlike_distribution_secondary,0.0008654128753157186,0.3514146844866828,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,40,0.009600000000000001,0.0041,0.535775650710059,0,median,COMPUTED
5,primary,2514,160832,419,two-sided,0.3514146844866828,5,9999,20260907,0.0014554574166020795,0.0003359032460785727,B2_over_B1,qlike_distribution_secondary,0.0009804116362912008,0.35085071264287004,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,37,0.009600000000000001,0.0038,0.1604861346749236,0,median,COMPUTED
5,primary,2514,160832,419,two-sided,0.34893680484509615,5,9999,20260907,0.0015549382021070245,0.0005881869710208787,B1_over_B0,qlike_distribution_secondary,0.0010872912652764995,0.3476203950506411,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,0,0.0004,0.0001,0.3772630964049196,20,trimmed_mean_5pct,COMPUTED
5,primary,2514,160832,419,two-sided,0.3476203950506411,5,9999,20260907,0.00186288705236782,0.0005311606351927514,B2_over_B1,qlike_distribution_secondary,0.0011751167038369361,0.3467293793975198,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7,0.0024000000000000002,0.0008,0.25631857791069307,20,trimmed_mean_5pct,COMPUTED
5,primary,2514,160832,419,two-sided,0.35330762069044525,5,9999,20260907,0.0017606775894399513,0.00021839781065304253,B1_over_B0,qlike_distribution_secondary,0.0009685731497196253,0.3514146844866828,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,147,0.0148,0.0148,0.535775650710059,20,trimmed_mean_5pct,COMPUTED
5,primary,2514,160832,419,two-sided,0.3514146844866828,5,9999,20260907,0.0013340740453813625,0.0002791993040757263,B2_over_B1,qlike_distribution_secondary,0.000812304472358883,0.35085071264287004,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,24,0.005,0.0025,0.1604861346749236,20,trimmed_mean_5pct,COMPUTED
5,confirmation,150,9750,25,two-sided,0.4158056519100697,5,9999,20260907,0.0015046104757030498,-0.0010233367587632047,B1_over_B0,qlike_distribution_secondary,0.0004105383080676428,0.41580205184117863,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2091,0.5972999999999999,0.2092,0.0008658056653297615,0,median,COMPUTED
5,confirmation,150,9750,25,two-sided,0.41580205184117863,5,9999,20260907,0.0025508900996306094,-0.0005182874516347358,B2_over_B1,qlike_distribution_secondary,0.0017658580191503015,0.4106942978916208,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,1990,0.5972999999999999,0.1991,1.2284099914708604,0,median,COMPUTED
5,confirmation,150,9750,25,two-sided,0.4133320293325866,5,9999,20260907,0.0061576792804947655,2.3967566488702907e-06,B1_over_B0,qlike_distribution_secondary,0.003058816913176332,0.40783254419342607,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,801,0.3208,0.0802,1.3305247957775443,0,median,COMPUTED
5,confirmation,150,9750,25,two-sided,0.40783254419342607,5,9999,20260907,0.0026213276751617665,-0.0015972948619699112,B2_over_B1,qlike_distribution_secondary,0.00015529218180099225,0.41199511380000686,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7468,0.7469,0.7469,-1.0206565576597642,0,median,COMPUTED
5,confirmation,150,9750,25,two-sided,0.4158056519100697,5,9999,20260907,0.0026993843714918616,-0.002223473667385819,B1_over_B0,qlike_distribution_secondary,0.00041718978670502376,0.41580205184117863,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7649,1.0,0.765,0.0008658056653297615,1,trimmed_mean_5pct,COMPUTED
5,confirmation,150,9750,25,two-sided,0.41580205184117863,5,9999,20260907,0.011296229354959197,-0.0010426461392383307,B2_over_B1,qlike_distribution_secondary,0.0011214957080868514,0.4106942978916208,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,4789,1.0,0.479,1.2284099914708604,1,trimmed_mean_5pct,COMPUTED
5,confirmation,150,9750,25,two-sided,0.4133320293325866,5,9999,20260907,0.009255120999463495,0.0013538537349097326,B1_over_B0,qlike_distribution_secondary,0.0038749833184061116,0.40783254419342607,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,678,0.2716,0.0679,1.3305247957775443,1,trimmed_mean_5pct,COMPUTED
5,confirmation,150,9750,25,two-sided,0.40783254419342607,5,9999,20260907,0.0024950569170826414,-0.01042960235657273,B2_over_B1,qlike_distribution_secondary,0.000662623190759857,0.41199511380000686,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6390,1.0,0.6391,-1.0206565576597642,1,trimmed_mean_5pct,COMPUTED
