horizon_minutes,window,endpoint,inference_role,alternative,regime,n_sessions,family,contrast,statistic,estimate,ci_low,ci_high,p_raw,p_holm,null_exceedances,holm_family_size,baseline_loss,percent_reduction_mean,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,spec_sha256
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Linear,B2_over_B1,mean,0.0007064433330905601,-0.00011592194570213889,0.0015625916183482614,0.1017,0.3051,1016,4,0.17295325580668372,0.4084591121430972,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Linear,B2_over_B1,median,0.0005129249013913761,-6.244313571796001e-05,0.0014178262812839793,0.1279,0.18030000000000002,1278,4,0.17295325580668372,0.4084591121430972,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Linear,B2_over_B1,trimmed_mean_5pct,0.0006629834595643355,-0.00013293698322367026,0.0015078728909157047,0.1127,0.2254,1126,4,0.17295325580668372,0.4084591121430972,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Trees,B1_over_B0,mean,0.002454795547855707,0.0008404757429971482,0.00416620511812643,0.0044,0.0176,43,4,0.1740758683761542,1.4101871619282855,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Trees,B1_over_B0,median,0.0015227194601460936,-0.00028099668171983894,0.0024584178054180006,0.0814,0.18030000000000002,813,4,0.1740758683761542,1.4101871619282855,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Trees,B1_over_B0,trimmed_mean_5pct,0.0020225234786933046,0.0006236594557392674,0.003588437028931798,0.0101,0.0404,100,4,0.1740758683761542,1.4101871619282855,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Trees,B2_over_B1,mean,0.0009716775534527849,-0.000500504369823693,0.0024536413260296676,0.1979,0.3051,1978,4,0.17162107282829847,0.5661761329419716,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Trees,B2_over_B1,median,0.0008379836356593728,1.1633141305186778e-05,0.001787890252830715,0.0601,0.18030000000000002,600,4,0.17162107282829847,0.5661761329419716,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_mid,139,Trees,B2_over_B1,trimmed_mean_5pct,0.0007801319236051023,-0.0003577480798159585,0.001770608656570471,0.1465,0.2254,1464,4,0.17162107282829847,0.5661761329419716,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Linear,B1_over_B0,mean,0.003410729147749084,-0.00048458610557140054,0.00872784476272376,0.1398,0.4194,1397,4,0.21283240520099683,1.6025422183844726,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
