horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,primary,b2_30m_d_mid_rel,feature,signed,419,-0.002331792373816458,-0.0028985938217598803,0.0029258494428109,-0.006349176036757996,0.007601191632567488,65,354,0,419,0.15513126491646778,0.8448687350835322
5,primary,b2_30m_d_spread,feature,signed,419,-0.008299764482858333,-0.008406257909243492,0.008299764482858333,-0.013089553988123373,-0.0017553442294411354,0,419,0,419,0.0,1.0
5,primary,b2_30m_decay_intensity_innovation,feature,signed,419,-0.00187746903039113,-0.0023466980059978003,0.003626042674499363,-0.012621851068851764,0.015215172697293194,85,334,0,419,0.20286396181384247,0.7971360381861575
5,primary,b2_30m_decay_intensity_last,feature,log,419,0.09062626238780244,0.0,0.09062626238780244,0.0,0.3123219597852526,197,0,222,197,0.4701670644391408,0.0
5,primary,b2_30m_delta_flow,feature,signed,419,-0.0045096724828437495,-0.003879669616122348,0.0045096724828437495,-0.01584649292228774,-0.0005920911426463188,0,419,0,419,0.0,1.0
5,primary,b2_30m_gamma_flow,feature,signed,419,-0.0025849708204550804,-0.0033215433330900644,0.0032801150464272922,-0.011021271734991954,0.004086027480844461,94,325,0,419,0.2243436754176611,0.7756563245823389
5,primary,b2_30m_multileg_premium_share,feature,raw,419,0.008000571220109293,0.007494365178445999,0.008000571220109293,0.0011633566793295977,0.01470961305400506,419,0,0,419,1.0,0.0
5,primary,b2_30m_multileg_size_share,feature,raw,419,-0.013330160307916823,-0.012466776124598126,0.013330160307916823,-0.021488528661550526,-0.008777846065799491,0,419,0,419,0.0,1.0
5,primary,b2_30m_otm_premium_share,feature,raw,419,0.0007239675493060329,0.0005206891745107234,0.0019159808304116282,-0.00599184756335655,0.01184456556541567,276,143,0,419,0.6587112171837709,0.3412887828162291
5,primary,b2_30m_passive_premium_share,feature,raw,419,0.04607865221409088,0.015742990014338876,0.049530976352243565,-0.033787533333194536,0.29943949370581446,333,86,0,419,0.7947494033412887,0.2052505966587112
5,primary,b2_30m_premium,feature,log,419,0.0061145481438849795,0.005396925060150203,0.008730400310478656,-0.01905236231222197,0.031083633261597375,301,118,0,419,0.7183770883054893,0.28162291169451076
5,primary,b2_30m_rate_per_second,feature,log,419,-0.02344171413838431,-0.0006202492320935433,0.04104915129610957,-0.1027023640059509,0.10992599702617176,96,211,112,307,0.22911694510739858,0.5035799522673031
