horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,confirmation,presence:b2_30m_vega_flow,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_vega_flow_abs,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_vega_flow_call,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_vega_flow_long_dte,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_vega_flow_put,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_vega_flow_short_dte,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_window_empty,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_zero_dte_premium_share,presence,finite_presence_binary,25,0.0006958295714034,0.0,0.0006958295714034,0.0,0.017395739285085,1,0,24,1,0.04,0.0
5,confirmation,presence:b2_30m_zero_dte_signed_premium,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_zero_dte_trade_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_buy_premium_share,presence,finite_presence_binary,25,-0.0439101630011228,0.0,0.0439101630011228,-0.2691550324204291,0.0,0,5,20,5,0.0,0.2
5,confirmation,presence:b2_5m_contract_entropy,presence,finite_presence_binary,25,-0.0107556566785032,0.0,0.0107556566785032,-0.26889141696258,0.0,0,1,24,1,0.0,0.04
5,confirmation,presence:b2_5m_contracts,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_d_iv,presence,finite_presence_binary,25,-0.0225524776313481,0.0,0.0225524776313481,-0.2695350806122434,0.0,0,3,22,3,0.0,0.12
5,confirmation,presence:b2_5m_d_mid_rel,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_d_spread,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_decay_intensity_innovation,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_decay_intensity_last,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_delta_flow,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_expiry_hhi,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_gamma_flow,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_interarrival_cv,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_multileg_premium_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_multileg_size_share,presence,finite_presence_binary,25,-0.0117196164980905,0.0,0.0117196164980905,-0.2678542844827493,0.0,0,2,23,2,0.0,0.08
5,confirmation,presence:b2_5m_otm_premium_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_passive_premium_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_premium,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_rate_per_second,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_sell_premium_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_size,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_strike_hhi,presence,finite_presence_binary,25,-0.0107339718934981,0.0,0.0107339718934981,-0.2683492973374541,0.0,0,1,24,1,0.0,0.04
