session_date,forecast__log_ols_harq__B0,loss__log_ols_harq__B0,forecast__log_ols_harq__B1,loss__log_ols_harq__B1,forecast__log_ols_harq__B2,loss__log_ols_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2026-08-03,1.9734038866423305e-05,0.07987623374829624,1.8716324701713618e-05,0.07086802524764652,1.8136304113660477e-05,0.06762523570064889,1.8218608947938868e-05,0.07454062804303531,1.7395158184600013e-05,0.06880960348681685,1.755903044262252e-05,0.07279886487594697,1.56745373456693e-05
2026-08-04,1.4340272016691488e-05,0.12509877868338087,1.4171460339132809e-05,0.12107558511962031,1.426253181714959e-05,0.12014423849194196,1.3650583044726907e-05,0.11631313613691173,1.3445963730916152e-05,0.11226759880708818,1.342698731907385e-05,0.10977640433541236,1.2401001590551311e-05
2026-08-05,1.932586957120574e-05,0.16499161286024575,1.891797705443863e-05,0.16015859087698783,1.825017197582871e-05,0.15852197490514322,1.8910145091324128e-05,0.14561878951715818,1.8034072128072663e-05,0.14936616371721334,1.78754895118925e-05,0.14848417521310886,1.5845077188757188e-05
2026-08-06,1.4220941008780162e-05,0.13822229822617207,1.4209814102791213e-05,0.13982454701470318,1.3906468404170679e-05,0.1389443605969922,1.4098591173836297e-05,0.12397211633228826,1.3668576601453052e-05,0.11804237000302187,1.3491192086289166e-05,0.11715088336951714,1.182648864235897e-05
2026-08-07,1.3016200589146693e-05,0.11288916352893395,1.2404787398834121e-05,0.10396577245485276,1.2128708340415718e-05,0.10102316857728182,1.2387289613937341e-05,0.10869556977276267,1.2040953531789741e-05,0.0975049836583927,1.216568296997855e-05,0.09874004932155189,1.0657996668993838e-05
2026-08-10,1.3094477521571745e-05,0.22622243965239222,1.224085312880175e-05,0.2352293729068354,1.1876006135038113e-05,0.2289500081860222,1.3041499528155942e-05,0.2195838474312257,1.2714854094603394e-05,0.2184329910803899,1.2813316686454139e-05,0.21789616358582084,1.4884397159939e-05
2026-08-11,1.312869881066057e-05,0.13573125271937334,1.3112046646325743e-05,0.13320373363419516,1.2982711150907477e-05,0.13091850822436335,1.3197178520773646e-05,0.14480930828994418,1.2950624630384588e-05,0.1413127817643856,1.3070702661647905e-05,0.13852599742520838,1.020986224584468e-05
2026-08-12,8.680764751942165e-06,0.10484270233516295,8.462752154448e-06,0.10838010693317436,8.475057888365724e-06,0.0994356098881914,8.977848720567263e-06,0.11727331265058193,8.73474649343176e-06,0.10478447144048009,9.070345041787569e-06,0.10568164501344929,7.400073037441037e-06
2026-08-13,9.427302494416842e-06,0.09796512707682771,9.412316031172991e-06,0.09684858887000158,9.476399849027771e-06,0.0976841745896911,1.0025290712173979e-05,0.0965783259720779,9.942667455908867e-06,0.08478847514500325,1.0031567486154901e-05,0.08417451998788582,9.741793555361778e-06
2026-08-14,1.0078629445748969e-05,0.08088652090463593,9.863564102968432e-06,0.07762558524004777,9.428913240774539e-06,0.0750083239345432,9.975411609004517e-06,0.07648526907439801,1.005343641075344e-05,0.0736654918123759,1.0128710575722916e-05,0.07455803717131325,9.310194233488335e-06
2026-08-17,7.769350597875982e-06,0.2498200747502983,7.403281423786726e-06,0.2702185716203926,7.3949324616963086e-06,0.2720789635686365,7.59559795948098e-06,0.2270925341275306,7.507386775018138e-06,0.2300183986883089,7.798125733219262e-06,0.22825775237823462,8.697991272789394e-06
2026-08-18,1.1221716842826236e-05,0.060823480364022,1.1240172059301837e-05,0.06200535884824284,1.137567537414688e-05,0.06275854572807467,1.034827634806468e-05,0.05851818428357953,1.0375920332495526e-05,0.05906817333714185,1.0520497607790726e-05,0.05756639047537367,1.045704275413113e-05
