session_date,forecast__log_ols_harq__B0,loss__log_ols_harq__B0,forecast__log_ols_harq__B1,loss__log_ols_harq__B1,forecast__log_ols_harq__B2,loss__log_ols_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2024-10-28,1.0336154401555607e-05,0.08468938765547997,9.775951287732296e-06,0.07272166268367043,1.0013155576612603e-05,0.07101993207662423,9.914657569037783e-06,0.09638029020858707,1.0925857110915482e-05,0.09461234444040628,1.1183613631116337e-05,0.10189313165659118,1.0354493318745782e-05
2024-10-29,8.55884907999751e-06,0.07404096134042754,9.004824357785153e-06,0.10047066571064656,8.810333699099217e-06,0.09640452705812509,8.749986897030401e-06,0.09327595587105374,9.301075332549915e-06,0.1270028824842664,9.385221345027836e-06,0.1236591347863184,8.834584677872587e-06
2024-10-30,1.116782773391381e-05,0.13480176074254585,1.248015659736399e-05,0.16107724834501655,1.2279018226137812e-05,0.1595626791373728,1.0702843342255234e-05,0.14417601457464094,1.1120856315284337e-05,0.15496342972829932,1.1327317969002158e-05,0.1606980357729294,1.053149508685983e-05
2024-10-31,1.742804691624277e-05,0.0806686859418164,1.8069355688405262e-05,0.08854512944371264,1.805894020002831e-05,0.09362634306786817,1.5113567530092375e-05,0.09126796136872777,1.5932376257358653e-05,0.0910712880509333,1.6139485227461966e-05,0.09298667599349757,1.6409618461722612e-05
2024-11-01,1.6261392293692996e-05,0.05848790062740756,1.3474028213044993e-05,0.06069631820506335,1.3336790715757576e-05,0.06792239419773738,1.4641180401872286e-05,0.05686584644637153,1.4127576580789587e-05,0.0572784034401656,1.3920000734970225e-05,0.059350923828360935,1.4713516158102138e-05
2024-11-04,1.2534337781378545e-05,0.08210650627378074,1.1191351902564814e-05,0.07226871207516307,1.1280202846508744e-05,0.07299077546750846,1.1826465203889577e-05,0.0927008813511801,1.223419119243442e-05,0.10240953787632656,1.2019674367837854e-05,0.09701129309706297,1.1061484155926879e-05
2024-11-05,9.71576473662551e-06,0.0892875916655399,9.415394235713037e-06,0.08327546329816828,9.265046379700644e-06,0.0809620336794845,9.806638736450696e-06,0.09707966849814782,1.0383600482003694e-05,0.11892875477637876,1.0189133905975496e-05,0.10746997830862244,7.81990902784512e-06
2024-11-06,1.777648976672209e-05,0.10007911743815319,1.7048338141222406e-05,0.09676588734126401,1.6500532360633357e-05,0.09323704371992647,1.4850008751491973e-05,0.10398122343495941,1.508293932988904e-05,0.09716489040797416,1.4317246826895992e-05,0.09631455753337842,1.4800697797842826e-05
2024-11-07,1.1715857768649635e-05,0.08758064907620529,1.1178519379662446e-05,0.08631843973422502,1.0946634278039547e-05,0.08693468615567868,1.1270709193820613e-05,0.09691245888335942,1.1676215795956245e-05,0.09479857945395154,1.1731681136102334e-05,0.09548778590774283,1.0697231054092052e-05
2024-11-08,1.478944183229711e-05,0.14406246941084294,1.4099447428191217e-05,0.13839195145424865,1.3331851158494875e-05,0.14603002327614187,1.47279377065933e-05,0.14974743062264592,1.3998443611960185e-05,0.1471956212705377,1.450440337280526e-05,0.13590711143562997,2.0884611585551925e-05
2024-11-11,2.718097493165898e-05,0.1364620372533268,2.8558088936836784e-05,0.11824916944258608,2.709844910880669e-05,0.11801366614242241,2.1215426394009262e-05,0.1426436602444923,2.00208933556286e-05,0.1588593568564037,2.05282721996652e-05,0.14551038392549412,3.512137639553466e-05
2024-11-12,2.484756616073734e-05,0.16098922292002213,2.626968979791764e-05,0.17058284696125123,2.592367875024843e-05,0.16017558778954452,2.312494514406747e-05,0.22061512494646818,2.3430103578371816e-05,0.2279241534100205,2.3690558130031018e-05,0.22501695418753478,2.8808682172838416e-05
2024-11-13,2.1946851464212227e-05,0.06490123252826423,2.4038450219210545e-05,0.06807884139259142,2.4025792737964317e-05,0.06540508225137666,1.945074084801586e-05,0.08684828772037716,2.0050079080445476e-05,0.08199595391123482,1.8919785408607793e-05,0.08072356337021296,2.08954188915752e-05
2024-11-14,2.0129712333184158e-05,1.0076082578495487,2.0334630831509925e-05,1.1671568980191622,2.0414449869756093e-05,1.0540491831849652,1.9060320019703107e-05,1.0647793824748555,2.0524174066509293e-05,1.1164524257463373,1.9926568681545683e-05,1.1231484072905762,2.58532195965876e-05
2024-11-15,2.3465109340920127e-05,0.1453238038321857,2.224795749849974e-05,0.171169437682578,2.2268138857413057e-05,0.19046150790537597,2.0227642476810317e-05,0.1591692239789128,2.1711992842408245e-05,0.15364701003365744,2.1569978165648767e-05,0.15489598118557904,2.447698045281539e-05
2024-11-18,1.8822801182179614e-05,0.10635258602865973,1.9531907085292604e-05,0.10078509847101098,2.0089452557516144e-05,0.10638799485396323,1.6539914853424775e-05,0.0909059348662018,1.7925388658885056e-05,0.09578766008746199,1.7911710641368425e-05,0.10144984509387485,1.5867038408301668e-05
2024-11-19,1.5087844330422642e-05,0.08363878176478196,1.613932563628385e-05,0.08466191291400375,1.622765549340834e-05,0.09072482266398253,1.3404617479665178e-05,0.07725368134356125,1.4693420426223244e-05,0.07988113955128102,1.4762943033371844e-05,0.08135810247980585,1.2262468148692359e-05
2024-11-20,1.5376845522086404e-05,0.09268968033659958,1.662477524648238e-05,0.09790610919846181,1.6871097484803915e-05,0.09446617419505061,1.431387232726312e-05,0.08827760236809722,1.5640964353704316e-05,0.0840880029348937,1.5431494175586694e-05,0.09171843608962528,1.5385545570723417e-05
2024-11-21,2.711611308019431e-05,0.11000842206667495,2.733403723274365e-05,0.10885038483206612,2.74241971212086e-05,0.10878841029802842,2.415629065390417e-05,0.10876657878835054,2.248221735818453e-05,0.10319298330732453,2.267175831299538e-05,0.10182994840012921,2.4608021760883354e-05
2024-11-22,1.8979402512427376e-05,0.11289056677711391,1.9038817091039675e-05,0.10161427101735326,1.8985418351854758e-05,0.10990273148153751,1.7023886450595846e-05,0.10485784631333345,1.5259523305586948e-05,0.09435333872744078,1.5781367605894076e-05,0.09760556873051851,1.7240693510447882e-05
2024-11-25,1.78132649995363e-05,0.12069075620782453,1.572109044908782e-05,0.12419563479479136,1.625601999508838e-05,0.12343010278320593,1.5938786431590364e-05,0.11530020404413159,1.5140759697512932e-05,0.10627050336579058,1.521832597864992e-05,0.11174148793387428,1.550739631375664e-05
2024-11-26,1.6837899639500782e-05,0.09802949732824127,1.6357191449855175e-05,0.0879436276904732,1.651854102987327e-05,0.09232357086350057,1.4157098873724854e-05,0.08944259484026518,1.329699953840547e-05,0.08741801921017651,1.3461899180554273e-05,0.08448378991254422,1.3035521653678683e-05
2024-11-27,1.386982580781843e-05,0.08163443842431466,1.4022262040188981e-05,0.08785019671614742,1.4195144134887189e-05,0.08866869050936686,1.360958816102082e-05,0.12141080501445449,1.2699574817734349e-05,0.1212361571055506,1.331368485820562e-05,0.11304994331087126,1.4290460990908385e-05
2024-11-29,9.312854302531096e-06,0.054549625873090334,8.65876873467912e-06,0.06577312489794575,9.12598331126505e-06,0.05288247637680085,1.2104536348504494e-05,0.05127583888363694,1.1564679482841352e-05,0.049075768729109036,1.1714742701760508e-05,0.05126231109405627,1.015333218080508e-05
2024-12-02,1.1981858411637189e-05,0.070622263747441,1.1511658650059073e-05,0.06827112275442733,1.177012016744858e-05,0.06608977075766677,1.0750162525898022e-05,0.075872037524632,1.1283643012666338e-05,0.0717648664317608,1.1716600588560187e-05,0.07056088848328433,1.0543762471001615e-05
2024-12-03,9.928984073390591e-06,0.12875762547821287,1.0079046394893315e-05,0.13107789067581724,1.0095971382737992e-05,0.13133590612281248,9.451801326061693e-06,0.15414291186417586,9.663267465559158e-06,0.1507430025231486,9.754810868774464e-06,0.15043388862285384,9.323329348719267e-06
2024-12-04,1.0498285214039486e-05,0.09515733319042913,1.1208734353491502e-05,0.0988565052738597,1.1449733774322699e-05,0.10020324372741973,1.0517337537720152e-05,0.12498892084069806,1.062411207382514e-05,0.12497296899869548,1.0532603230655165e-05,0.12134439442517386,9.570735463230447e-06
2024-12-05,1.0540250078044846e-05,0.10352566049134564,1.1183393421270867e-05,0.09983036566677744,1.122468176242347e-05,0.10048440722022207,1.0442498252287787e-05,0.12443670927847549,1.1256993902534273e-05,0.1203352735680065,1.1421418677997644e-05,0.11276883845644263,1.0019535769248045e-05
2024-12-06,1.0432783868034627e-05,0.08694307113814143,9.983521619121537e-06,0.08495626629210244,1.0091199685806651e-05,0.08338511728976129,9.592257069602246e-06,0.09512698347216259,1.0044734735463816e-05,0.08721305704604088,1.0044341331993166e-05,0.093634292109373,9.979070943777761e-06
2024-12-09,1.6575410592672434e-05,0.10211210111759965,1.677389733630791e-05,0.10700691538991332,1.6671243037989683e-05,0.09892536516360467,1.4933085396843821e-05,0.10655674182993813,1.5586984728876223e-05,0.11155536281384311,1.540755012264527e-05,0.11841607755628447,1.7992627093440895e-05
2024-12-10,1.8836569992440387e-05,0.09801576634773933,2.0365148009967695e-05,0.09656070124767768,2.0337078689578784e-05,0.09734646504525242,1.8550676247371476e-05,0.11177666108684602,1.89058378636262e-05,0.11326209037533914,1.879229978085906e-05,0.10856469061875956,1.891323503195682e-05
2024-12-11,1.5780539537136314e-05,0.08471720261617179,1.741419297381912e-05,0.10567777732298454,1.758414828148401e-05,0.10458765484134498,1.4285900680004174e-05,0.07558935582151316,1.4945239651220697e-05,0.07946046320740392,1.4764339784753015e-05,0.08076215585283424,1.2253061066811214e-05
2024-12-12,1.610702887737696e-05,0.057853545798868956,1.727011319447971e-05,0.0647182989890698,1.7281969563740427e-05,0.06328470191265534,1.4808303376593308e-05,0.06749230555933934,1.5676664227487933e-05,0.08820307441355375,1.4592663541080919e-05,0.09073690212696695,1.4417869317065391e-05
