session_date,forecast__log_ridge_harq__B0,loss__log_ridge_harq__B0,forecast__log_ridge_harq__B1,loss__log_ridge_harq__B1,forecast__log_ridge_harq__B2,loss__log_ridge_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2026-08-03,2.163710453161804e-05,0.09073989295136453,2.071311740350733e-05,0.08178297662343222,2.0312254654380832e-05,0.07762992028752964,2.0645935020075254e-05,0.08033743482761645,1.9888665484299987e-05,0.07507928034373616,2.020304514804902e-05,0.07766684553045461,1.6876090754811597e-05
2026-08-04,1.4977163313322334e-05,0.1298996706840267,1.4808580425472379e-05,0.1278788562058055,1.4915789673741796e-05,0.12776523468947654,1.3833966748584353e-05,0.11431687758991028,1.3885476708934637e-05,0.11127893505128106,1.3883805185084544e-05,0.11559612649110274,1.2222553606194198e-05
2026-08-05,1.7678823555429757e-05,0.169661349741272,1.7113761268367473e-05,0.16097939778600862,1.6836342603612956e-05,0.15886457943007068,1.7212382732664653e-05,0.16857598658130699,1.6419430877846457e-05,0.15018460675517945,1.664199043619423e-05,0.14968771234587333,1.444965097948457e-05
2026-08-06,1.4306430941084577e-05,0.12235889728304966,1.4225239665752127e-05,0.12005456866238112,1.42291290939466e-05,0.12147768130676363,1.4082043333700796e-05,0.11790942436967888,1.3961636107037431e-05,0.10548219692297993,1.3639959394922912e-05,0.09800513440275976,1.2530865221496363e-05
2026-08-07,1.295179491728884e-05,0.10117260693176723,1.2329524387324259e-05,0.09224848739805984,1.219313894214574e-05,0.09251531031499716,1.2050956822272895e-05,0.08818404519442417,1.1869485190082636e-05,0.08277469474868261,1.2283910607295693e-05,0.08717199220018668,1.0575164126807827e-05
2026-08-10,1.0877730274442857e-05,0.1915253945865536,1.0193544585906126e-05,0.19145972858347773,1.0081331088677993e-05,0.18645526665969628,1.0654690941172358e-05,0.17167620459752728,9.94566187976002e-06,0.17462460017327286,1.0302478136019383e-05,0.161866812910457,1.1111252183790332e-05
2026-08-11,9.57376971736333e-06,0.13643926945683515,9.435209045283588e-06,0.13511860534275932,9.451714961006546e-06,0.1361739349418797,9.465700311886862e-06,0.13319630787288841,9.447430998344042e-06,0.1294419240878412,9.502437160864235e-06,0.1295691579345578,8.6972083223406e-06
2026-08-12,9.362717709278186e-06,0.09651132223266033,9.051350231033824e-06,0.09405039183178177,9.118209037248467e-06,0.09169843016169797,9.134971526310466e-06,0.09506943153507592,8.7624256596245e-06,0.08373771595600875,9.254090950053043e-06,0.08778017127498573,7.952446268050704e-06
2026-08-13,8.67209018708296e-06,0.14890483002574081,8.562675871075019e-06,0.1477000206101664,8.646200552697736e-06,0.14810967502956673,8.729097838551194e-06,0.1670655566428191,8.634349597727444e-06,0.16467571937443568,8.64941860552026e-06,0.15792659841473458,9.22145639502896e-06
2026-08-14,8.781977175245798e-06,0.09431501397089133,8.56730698961958e-06,0.09096705640653509,8.364589803955775e-06,0.08880815059435226,8.675058562106359e-06,0.09367081419571129,8.865175239868283e-06,0.087114225653571,8.986429109017992e-06,0.09239861181529108,7.948117287704955e-06
2026-08-17,7.848024590236152e-06,0.3977293872934831,7.432157970087776e-06,0.43099786536099377,7.4236871969253245e-06,0.4383970340486025,7.534473564787525e-06,0.38274337059572755,7.416630545566835e-06,0.40542701860824587,7.843518001224279e-06,0.4039358510141852,9.781065401170168e-06
2026-08-18,1.1358923132838499e-05,0.06419242814619695,1.1281071766754331e-05,0.06466647752070331,1.1452264052226378e-05,0.06483958395416183,1.0487638803900556e-05,0.06409340169057265,1.0550104001308839e-05,0.06373840947317351,1.0638365728640762e-05,0.062301449698586385,1.0349028934752245e-05
2026-08-19,1.292109193805374e-05,0.11219246969487083,1.2628413948957824e-05,0.11142416030213174,1.2548850412809861e-05,0.11130822074206963,1.2296305624781475e-05,0.1016665385975397,1.2214354286110832e-05,0.09129710105805315,1.2199444385039293e-05,0.08563382861724511,1.1892505235329621e-05
2026-08-20,1.1088849453731964e-05,0.13042366686412504,1.1268067927241686e-05,0.13283787463332597,1.1347123923064584e-05,0.1358370717709745,1.0768127568955105e-05,0.12447415136919975,1.0588261748385213e-05,0.12505984381962074,1.0741504339452341e-05,0.1274668450213885,9.534817331544685e-06
2026-08-21,1.2033342142885519e-05,0.10280997900775252,1.1922673215901371e-05,0.105068852703249,1.1828459808680464e-05,0.10308354643640326,1.1689543842661945e-05,0.09864663967351689,1.1781177811037883e-05,0.09433924232978001,1.2255038977460674e-05,0.09294362297224841,1.2541900077978301e-05
2026-08-24,1.0572603614947994e-05,0.10184081935044738,1.0140217194957677e-05,0.10149964195452534,1.0167295914376938e-05,0.10411704549143136,9.947353383336621e-06,0.09477735430776,9.820554071578493e-06,0.09006114940238602,1.0179431080802407e-05,0.09603634347587914,9.698983744501972e-06
2026-08-25,9.00412818997409e-06,0.17382502380095524,9.176601300297865e-06,0.1711117471934215,9.237093129477926e-06,0.16965889627105782,9.155105026673764e-06,0.16221452342723078,9.102844843432484e-06,0.15769442907100442,9.128313508921858e-06,0.15637587168399383,9.436788972927418e-06
2026-08-26,1.288508548845332e-05,0.09723561238204663,1.3055113197114377e-05,0.09518495981985191,1.3104765960407719e-05,0.09577759786343513,1.3106257772785933e-05,0.10797558430684494,1.2650608734838262e-05,0.10520678752259953,1.305523888465101e-05,0.09744892810357321,1.2327197844269619e-05
