family,B0,B1,B2
average_learned4,0.18184040153322822,0.18000299410808335,0.17910224423757146
average_linear3,0.18310309992403248,0.18150280745489233,0.18033862663498906
ensemble_top2,0.18248360053098486,0.1810700172061293,0.18023514472241828
lightgbm_qlike,0.18775025839388218,0.18555363911085654,0.18576654218262378
log_elastic_net,0.18350020616611984,0.18224495960734508,0.1809995974661458
log_har,0.18322848817589743,0.18220758982921786,0.18067891205650088
log_ridge_harq,0.18366037179378455,0.18205096062361725,0.18091349242944227
seasonal_persistence,0.4170523617818892,0.4170523617818892,0.4170523617818892
selector_primary,0.18433699443101162,0.18382389826789336,0.18124474925915174
