window,model,fit_phase,partition,column,count_low,count_high,N_fit_records
primary,jump__log_ridge_harq__B0,refit,predicting,feature:12,0,11,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:13,0,5,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:14,0,10,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:15,0,9,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:16,0,11,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:17,2,5,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:18,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:19,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:2,198,228,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:20,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:21,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:22,0,11,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:23,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:24,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:25,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:26,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:27,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:28,291,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:29,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:3,0,132,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:30,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:31,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:32,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:33,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:4,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:5,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:6,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:7,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:8,0,0,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:9,0,1,419
primary,jump__log_ridge_harq__B0,refit,training,feature:0,32262,44478,419
primary,jump__log_ridge_harq__B0,refit,training,feature:1,0,20712,419
primary,jump__log_ridge_harq__B0,refit,training,feature:10,67030,69190,419
primary,jump__log_ridge_harq__B0,refit,training,feature:11,69427,57693,419
primary,jump__log_ridge_harq__B0,refit,training,feature:12,0,6778,419
primary,jump__log_ridge_harq__B0,refit,training,feature:13,0,2391,419
primary,jump__log_ridge_harq__B0,refit,training,feature:14,0,3547,419
primary,jump__log_ridge_harq__B0,refit,training,feature:15,89,4504,419
primary,jump__log_ridge_harq__B0,refit,training,feature:16,0,3548,419
primary,jump__log_ridge_harq__B0,refit,training,feature:17,400,2356,419
primary,jump__log_ridge_harq__B0,refit,training,feature:18,0,1560,419
primary,jump__log_ridge_harq__B0,refit,training,feature:19,0,2695,419
primary,jump__log_ridge_harq__B0,refit,training,feature:2,42972,60588,419
primary,jump__log_ridge_harq__B0,refit,training,feature:20,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:21,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:22,0,3548,419
primary,jump__log_ridge_harq__B0,refit,training,feature:23,0,2695,419
primary,jump__log_ridge_harq__B0,refit,training,feature:24,0,1560,419
primary,jump__log_ridge_harq__B0,refit,training,feature:25,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:26,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:27,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:28,65213,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:29,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:3,0,31890,419
primary,jump__log_ridge_harq__B0,refit,training,feature:30,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:31,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:32,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:33,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:4,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:5,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:6,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:7,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:8,0,0,419
primary,jump__log_ridge_harq__B0,refit,training,feature:9,0,880,419
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:0,0,12,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:1,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:10,314,180,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:11,282,227,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:12,0,0,36
