comparison,reason,asset,column,rows,absolute_tolerance,relative_tolerance,finite_pairs,only_left_finite,only_right_finite,both_nonfinite,nonzero_difference_pairs,outside_tolerance_pairs,maximum_absolute_difference,mean_absolute_difference,mean_signed_difference
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AAPL,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,26510,26510,180211541399.02957,3954843769.7178693,-83252687.92593329
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AAPL,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,7830,7829,180211537198.839,3954715640.934155,-83352905.17152424
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AAPL,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,7830,7829,180211537198.83868,3954715640.9341555,-83352905.17152514
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AAPL,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,26359,26359,112205.0,7623.954634745242,-7623.954082259054
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AMZN,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,25396,25389,155140191321.21442,2427773304.344826,-330934575.4187271
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AMZN,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,7569,7545,155140192757.19424,2427589283.4850945,-331063289.44736326
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AMZN,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,7569,7546,155140192757.19437,2427589283.485094,-331063289.4473625
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,AMZN,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,25039,25039,63187.0,3733.9048496009823,-3733.9012891344382
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,META,rp4_gamma_imb_total,32579,1e-8,1e-10,32579,0,0,0,28767,28760,218223986897.8143,5864571667.55517,3010552432.720925
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,META,rp4_gamma_imb_near_spot,32579,1e-8,1e-10,32579,0,0,0,7987,7965,218223990758.852,5864269870.445903,3010319053.024286
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,META,rp4_gamma_imb_near_short,32579,1e-8,1e-10,32579,0,0,0,7987,7965,218223990758.85193,5864269870.445903,3010319053.0242844
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,META,rp4_gamma_imb_signed_trades,32579,1e-8,1e-10,32579,0,0,0,28753,28753,96502.0,5660.182080481291,-5660.181650756623
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,MSFT,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,18038,18038,198004391821.47916,3983189760.9641037,1440231095.9629095
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,MSFT,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,8012,8009,198004391821.4788,3982901344.019462,1439967451.4945736
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,MSFT,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,8012,8009,198004391821.47897,3982901344.0194635,1439967451.4945736
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,MSFT,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,17815,17815,78177.0,4429.538612645795,-4429.537200736649
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,NVDA,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,32449,32447,223533054212.31125,3934350474.1258087,-967811357.6951971
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,NVDA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,7374,7364,223533060025.9393,3933965445.830377,-968044710.217073
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,NVDA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,7374,7364,223533060025.93988,3933965445.830378,-968044710.217073
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,NVDA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,32451,32451,139337.0,8696.96028238183,-8696.96028238183
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,TSLA,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,32260,32260,114990619700.65895,438514714.08268505,120166589.8143025
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,TSLA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,2119,2048,114990628975.77278,437238706.79513454,119426167.57874948
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,TSLA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,2119,2048,114990628975.77316,437238706.79513544,119426167.57874888
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,TSLA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,32222,32222,217845.0,995.9360957642725,-995.9360957642725
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",ALL,rp4_gamma_imb_total,195479,1e-8,1e-10,195089,390,0,0,1068,1068,28092964.292370796,44942.882572647504,7884.947376925872
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",ALL,rp4_gamma_imb_near_spot,195479,1e-8,1e-10,195089,390,0,0,1068,1068,31008664.580394745,29185.46441864083,10075.989407830994
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",ALL,rp4_gamma_imb_near_short,195479,1e-8,1e-10,195089,390,0,0,1039,1039,30259585.265538216,24335.99241159119,11768.011427359386
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",ALL,rp4_gamma_imb_signed_trades,195479,1e-8,1e-10,195089,390,0,0,1068,1068,138.0,0.4248778762513519,0.4248778762513519
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AAPL,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,130,130,27855135.548225403,56351.25112632644,56351.25112632644
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AAPL,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,130,130,10074852.562570572,28518.729677633466,5873.155293081167
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AAPL,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,130,130,8173368.134300232,20834.177414997837,11844.212788260527
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AAPL,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,130,130,66.0,0.20295248346916808,0.20295248346916808
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AMZN,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,390,390,4283959.842154026,24122.08812331188,-21893.662257153595
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AMZN,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,390,390,2464863.2947893143,15631.10589735318,-7110.73461378857
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AMZN,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,390,390,1394655.2303390503,5206.94494389399,-566.2490144937116
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",AMZN,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,390,390,95.0,0.6546209441796094,0.6546209441796094
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",META,rp4_gamma_imb_total,32579,1e-8,1e-10,32514,65,0,0,194,194,18681610.357733965,54092.03479498725,13875.256725750532
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",META,rp4_gamma_imb_near_spot,32579,1e-8,1e-10,32514,65,0,0,194,194,21104117.953121185,37325.579497372666,31311.735698998487
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",META,rp4_gamma_imb_near_short,32579,1e-8,1e-10,32514,65,0,0,194,194,17672860.418840766,41281.83299159104,23710.255317420186
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",META,rp4_gamma_imb_signed_trades,32579,1e-8,1e-10,32514,65,0,0,194,194,128.0,0.5841791228393922,0.5841791228393922
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",MSFT,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,130,130,28092964.292370796,61222.890648972134,42925.4650226518
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",MSFT,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,130,130,31008664.580394745,60000.47684308941,59998.53007065796
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",MSFT,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,130,130,30259585.265538216,63755.780515944934,49570.88923965939
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",MSFT,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,130,130,124.0,0.3940950330616638,0.3940950330616638
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",NVDA,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,0,0,0.0,0.0,0.0
