B1_over_B0,B1_over_B0_sign,B2_over_B1,B2_over_B1_sign,family,qlike_B0,qlike_B1,qlike_B2,rank,ranked_information_set,session_date
0.5024826015904509,1,-0.07616342866432779,-1,log_ridge_harq,2.462439413230185,1.9599568116397341,2.036120240304062,1,B0,2025-04-09
-0.04973759591063098,-1,0.019891420397492143,1,log_ridge_harq,0.8333723157179285,0.8831099116285595,0.8632184912310673,2,B0,2026-06-05
-0.02652713201605006,-1,0.011178805896359001,1,log_ridge_harq,0.7891726908247093,0.8156998228407594,0.8045210169444004,3,B0,2026-03-16
-0.05522152997241436,-1,0.09039237474061657,1,log_ridge_harq,0.7854547701672151,0.8406763001396295,0.7502839253990129,4,B0,2024-11-14
0.07254277498152417,1,0.08965688732643051,1,log_ridge_harq,0.7148101036439963,0.6422673286624722,0.5526104413360416,5,B0,2025-05-21
0.07471389998010114,1,0.02932537999299001,1,log_ridge_harq,0.682418249010183,0.6077043490300819,0.5783789690370919,6,B0,2025-09-17
0.03130642055132149,1,0.028083459583596926,1,log_ridge_harq,0.6253558702982857,0.5940494497469642,0.5659659901633672,7,B0,2026-01-21
0.044464614330427366,1,0.002451228405525363,1,log_ridge_harq,0.6048977484328786,0.5604331341024512,0.5579819056969259,8,B0,2024-12-18
-0.01845429360601092,-1,-0.004243304295499906,-1,log_ridge_harq,0.5977124607812508,0.6161667543872618,0.6204100586827617,9,B0,2025-10-10
0.1067065155975459,1,0.013200365239149026,1,log_ridge_harq,0.5536739081859493,0.4469673925884034,0.4337670273492544,10,B0,2025-04-07
0.5024826015904509,1,-0.07616342866432779,-1,log_ridge_harq,2.462439413230185,1.9599568116397341,2.036120240304062,1,B1,2025-04-09
-0.04973759591063098,-1,0.019891420397492143,1,log_ridge_harq,0.8333723157179285,0.8831099116285595,0.8632184912310673,2,B1,2026-06-05
-0.05522152997241436,-1,0.09039237474061657,1,log_ridge_harq,0.7854547701672151,0.8406763001396295,0.7502839253990129,3,B1,2024-11-14
-0.02652713201605006,-1,0.011178805896359001,1,log_ridge_harq,0.7891726908247093,0.8156998228407594,0.8045210169444004,4,B1,2026-03-16
0.07254277498152417,1,0.08965688732643051,1,log_ridge_harq,0.7148101036439963,0.6422673286624722,0.5526104413360416,5,B1,2025-05-21
-0.01845429360601092,-1,-0.004243304295499906,-1,log_ridge_harq,0.5977124607812508,0.6161667543872618,0.6204100586827617,6,B1,2025-10-10
0.07471389998010114,1,0.02932537999299001,1,log_ridge_harq,0.682418249010183,0.6077043490300819,0.5783789690370919,7,B1,2025-09-17
0.03130642055132149,1,0.028083459583596926,1,log_ridge_harq,0.6253558702982857,0.5940494497469642,0.5659659901633672,8,B1,2026-01-21
0.044464614330427366,1,0.002451228405525363,1,log_ridge_harq,0.6048977484328786,0.5604331341024512,0.5579819056969259,9,B1,2024-12-18
0.013061664626304592,1,0.02749082131815761,1,log_ridge_harq,0.48454537261456765,0.47148370798826306,0.44399288667010545,10,B1,2026-06-11
0.009623626238916563,1,-3.9234194088301,-1,log_ridge_harq,0.10585466571500846,0.09623103947609189,4.019650448306192,1,B2,2025-09-18
0.5024826015904509,1,-0.07616342866432779,-1,log_ridge_harq,2.462439413230185,1.9599568116397341,2.036120240304062,2,B2,2025-04-09
0.03471367746848064,1,-1.4655338321351312,-1,log_ridge_harq,0.35987290909198805,0.3251592316235074,1.7906930637586387,3,B2,2025-05-15
-0.04973759591063098,-1,0.019891420397492143,1,log_ridge_harq,0.8333723157179285,0.8831099116285595,0.8632184912310673,4,B2,2026-06-05
-0.02652713201605006,-1,0.011178805896359001,1,log_ridge_harq,0.7891726908247093,0.8156998228407594,0.8045210169444004,5,B2,2026-03-16
-0.05522152997241436,-1,0.09039237474061657,1,log_ridge_harq,0.7854547701672151,0.8406763001396295,0.7502839253990129,6,B2,2024-11-14
-0.01845429360601092,-1,-0.004243304295499906,-1,log_ridge_harq,0.5977124607812508,0.6161667543872618,0.6204100586827617,7,B2,2025-10-10
0.07471389998010114,1,0.02932537999299001,1,log_ridge_harq,0.682418249010183,0.6077043490300819,0.5783789690370919,8,B2,2025-09-17
0.03130642055132149,1,0.028083459583596926,1,log_ridge_harq,0.6253558702982857,0.5940494497469642,0.5659659901633672,9,B2,2026-01-21
0.044464614330427366,1,0.002451228405525363,1,log_ridge_harq,0.6048977484328786,0.5604331341024512,0.5579819056969259,10,B2,2024-12-18
