version,window,section,N_available_origins,N_excluded_from_subset_origins,N_origins,N_sessions,N_unknown_membership_origins,N_unknown_membership_sessions,N_verified_membership_origins,N_verified_nonmember_origins,contrast,coverage_status,estimate,family,qlike_reduction_percent,status,subset,N_asset_sessions
v1,primary,robustness,,,30176,139,,,,,B1_over_B0,,-0.0005637846261130763,log_ols_harq,-0.3930539151865744,,chronological_block_1,832
v1,primary,robustness,,,30176,139,,,,,B2_over_B1,,-732.880490992311,log_ols_harq,-508942.1185879461,,chronological_block_1,832
v1,primary,robustness,,,30176,139,,,,,B1_over_B0,,0.0037670773636423755,lightgbm_qlike,2.477970454317615,,chronological_block_1,832
v1,primary,robustness,,,30176,139,,,,,B2_over_B1,,-0.0013878857564930166,lightgbm_qlike,-0.9361438151709448,,chronological_block_1,832
v1,primary,robustness,,,62085,279,,,,,B1_over_B0,,0.0009157408100347092,log_ols_harq,0.6219952857644936,,leave_block_1_out,1672
v1,primary,robustness,,,62085,279,,,,,B2_over_B1,,0.0009257940129820685,log_ols_harq,0.6327594198459622,,leave_block_1_out,1672
v1,primary,robustness,,,62085,279,,,,,B1_over_B0,,0.0008427867125017639,lightgbm_qlike,0.5610541461760697,,leave_block_1_out,1672
v1,primary,robustness,,,62085,279,,,,,B2_over_B1,,0.0005290308111085419,lightgbm_qlike,0.35416982016869575,,leave_block_1_out,1672
v1,primary,robustness,,,31949,139,,,,,B1_over_B0,,0.0017263700809116858,log_ols_harq,1.2149233250799676,,chronological_block_2,833
v1,primary,robustness,,,31949,139,,,,,B2_over_B1,,0.0002345602455953001,log_ols_harq,0.16710061015336625,,chronological_block_2,833
v1,primary,robustness,,,31949,139,,,,,B1_over_B0,,0.0017098208402227014,lightgbm_qlike,1.189315969534621,,chronological_block_2,833
v1,primary,robustness,,,31949,139,,,,,B2_over_B1,,0.0009411047583475674,lightgbm_qlike,0.6624921059473065,,chronological_block_2,833
v1,primary,robustness,,,60312,279,,,,,B1_over_B0,,-0.00022523232357260975,log_ols_harq,-0.15229319023478724,,leave_block_2_out,1671
v1,primary,robustness,,,60312,279,,,,,B2_over_B1,,-365.1260306640707,log_ols_harq,-246508.3673217059,,leave_block_2_out,1671
v1,primary,robustness,,,60312,279,,,,,B1_over_B0,,0.001867728134563896,lightgbm_qlike,1.2102259526988448,,leave_block_2_out,1671
v1,primary,robustness,,,60312,279,,,,,B2_over_B1,,-0.0006312906281847957,lightgbm_qlike,-0.41406655306697243,,leave_block_2_out,1671
v1,primary,robustness,,,30136,140,,,,,B1_over_B0,,0.00011090174823542501,log_ols_harq,0.07280888541372159,,chronological_block_3,839
v1,primary,robustness,,,30136,140,,,,,B2_over_B1,,0.0016120903963160742,log_ols_harq,1.0591359301976968,,chronological_block_3,839
v1,primary,robustness,,,30136,140,,,,,B1_over_B0,,-1.8054314306881598e-05,lightgbm_qlike,-0.011527567720360817,,chronological_block_3,839
v1,primary,robustness,,,30136,140,,,,,B2_over_B1,,0.00011990024920693779,lightgbm_qlike,0.07654674157476143,,chronological_block_3,839
v1,primary,robustness,,,62125,278,,,,,B1_over_B0,,0.0005812927273993046,log_ols_harq,0.40716181441076865,,leave_block_3_out,1665
v1,primary,robustness,,,62125,278,,,,,B2_over_B1,,-366.4401282160327,log_ols_harq,-257719.374682604,,leave_block_3_out,1665
v1,primary,robustness,,,62125,278,,,,,B1_over_B0,,0.002738449101932539,lightgbm_qlike,1.851631161831196,,leave_block_3_out,1665
v1,primary,robustness,,,62125,278,,,,,B2_over_B1,,-0.00022339049907272457,lightgbm_qlike,-0.15389744856607138,,leave_block_3_out,1665
v2,primary,secondary,160832,148381,12451,419,0,0,160832,148381,B1_over_B0,COMPLETE_COVERAGE,0.0017968557488178562,log_ridge_harq,1.7481245758858523,COMPUTED,first_hour,
v2,primary,secondary,160832,148381,12451,419,0,0,160832,148381,B2_over_B1,COMPLETE_COVERAGE,-0.011161763733302328,log_ridge_harq,-11.052261231214995,COMPUTED,first_hour,
v2,primary,secondary,160832,148381,12451,419,0,0,160832,148381,B1_over_B0,COMPLETE_COVERAGE,0.002221289874084466,lightgbm_qlike,1.894983382221435,COMPUTED,first_hour,
v2,primary,secondary,160832,148381,12451,419,0,0,160832,148381,B2_over_B1,COMPLETE_COVERAGE,-0.0015477782327577069,lightgbm_qlike,-1.3459151694357596,COMPUTED,first_hour,
v2,primary,secondary,160832,85802,75030,393,780,2,160052,85022,B1_over_B0,PARTIAL_COVERAGE,0.0025151784162660146,log_ridge_harq,1.7427319549725533,PARTIAL_COVERAGE,high_flow,
v2,primary,secondary,160832,85802,75030,393,780,2,160052,85022,B2_over_B1,PARTIAL_COVERAGE,-0.0033160580085356346,log_ridge_harq,-2.338402310076343,PARTIAL_COVERAGE,high_flow,
v2,primary,secondary,160832,85802,75030,393,780,2,160052,85022,B1_over_B0,PARTIAL_COVERAGE,0.004060090308364904,lightgbm_qlike,2.767145953529551,PARTIAL_COVERAGE,high_flow,
v2,primary,secondary,160832,85802,75030,393,780,2,160052,85022,B2_over_B1,PARTIAL_COVERAGE,-0.0002950870440715616,lightgbm_qlike,-0.20683950100274304,PARTIAL_COVERAGE,high_flow,
v2,primary,secondary,160832,145785,15047,56,0,0,160832,145785,B1_over_B0,COMPLETE_COVERAGE,0.004387555090472119,log_ridge_harq,2.52733160452375,COMPUTED,event,
v2,primary,secondary,160832,145785,15047,56,0,0,160832,145785,B2_over_B1,COMPLETE_COVERAGE,9.767270301308454e-05,log_ridge_harq,0.05772048837065549,COMPUTED,event,
