session_date,forecast__log_ridge_harq__B0,loss__log_ridge_harq__B0,forecast__log_ridge_harq__B1,loss__log_ridge_harq__B1,forecast__log_ridge_harq__B2,loss__log_ridge_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2024-10-28,1.8447527145924488e-06,0.3280792158817056,1.795859583351964e-06,0.33928984845252735,1.8908754762250212e-06,0.3383834319668912,1.7513163648249137e-06,0.3311342785909338,1.808258754046675e-06,0.33972360412864716,1.8408957624122195e-06,0.3362334978160422,1.6329348235513914e-06
2024-10-29,1.5242848360962166e-06,0.28180584044698537,1.512640675674955e-06,0.2931593033238682,1.5906332552415142e-06,0.2893924405980312,1.5514388283513523e-06,0.2928487852621294,1.5434294679905732e-06,0.2914128354450277,1.5212686544726378e-06,0.29875106088893705,1.54757450951209e-06
2024-10-30,1.9764964304320842e-06,0.32246966744803185,2.0551866953712024e-06,0.33079082937076176,2.096440980258815e-06,0.3267317098816686,1.8448583596241533e-06,0.3214418749778322,1.869915065064701e-06,0.31785968283414795,1.852943612078612e-06,0.3236203645725387,1.8486240821868657e-06
2024-10-31,3.4484491952402687e-06,0.271248144520632,3.531258766429985e-06,0.26833764600884447,3.445595001901593e-06,0.26455585705856915,2.9699390696848184e-06,0.2795825545670913,2.95462303125607e-06,0.2783797553930212,2.966690228442192e-06,0.2701370296720399,2.9857529708268373e-06
2024-11-01,2.954971772466738e-06,0.284759409673576,2.623300875536393e-06,0.28612889392677315,2.5110816656045273e-06,0.2840953394907702,2.7032162923717094e-06,0.2800010747312036,2.589479588399382e-06,0.28086804945814287,2.3733594200168803e-06,0.2813660904485144,2.7064963626719512e-06
2024-11-04,2.135455859167322e-06,0.27712821877930754,2.0341973043264206e-06,0.27490176086651863,2.0503533123987983e-06,0.2680603276850047,2.018312467998067e-06,0.28577373786749244,2.0573581030638715e-06,0.28335801512694836,2.0371788922139595e-06,0.2773338318591073,1.988083497933596e-06
2024-11-05,1.6293882227048532e-06,0.2970977843136093,1.6177224611844864e-06,0.2926378629843757,1.592055094024097e-06,0.29553607359352113,1.6197669424925538e-06,0.3005747052540962,1.582028076197834e-06,0.2960632902364361,1.6237682969584258e-06,0.3042465230025458,1.4637071790012902e-06
2024-11-06,3.4251810472488483e-06,0.31346930462506345,3.4313788700236205e-06,0.31459316924999525,3.341177938713747e-06,0.3141421496722201,2.6431723584361142e-06,0.31915781565218465,2.7637118222760046e-06,0.3140540858407572,2.559504917178464e-06,0.3200091183428818,2.8168704597297165e-06
2024-11-07,2.1394849505673794e-06,0.3091286057418757,2.1933914767937334e-06,0.30960367966213614,2.1500571609511163e-06,0.3081860642359359,2.0484902163349537e-06,0.3187051503746199,2.0044719684429343e-06,0.31283759705940084,2.0499878779829333e-06,0.3183970404046264,1.954664003843918e-06
2024-11-08,2.7761993047029927e-06,0.3265404544431969,2.841076520317086e-06,0.32194642535229007,2.883073440730654e-06,0.31092210281850885,2.795254104632956e-06,0.3308572372858873,2.7378716107673392e-06,0.3283455130736655,2.8102987425449568e-06,0.32619562165754923,3.8107494489298825e-06
